verse_index,verse_id,english,chapter_number,verse_number,turkish,french,german,bahasa,persian,tamil,swedish,russian,bengali,spanish,urdu
196,2:188,"Bribery, Corruption Condemned",2,188,"Rüşvet, Yolsuzluk Kınandı",Condamnation de la corruption,Bestechung und Korruption verurteilt,Suapan dan rasuah dikecam,محکومیت رشوه‌خواری و فساد,"இலஞ்சம், ஊழல் கண்டனம் செய்யப்படுகின்றது",Mutor och korruption fördöms,Взяточничество и коррупция осуждаются,ঘুষ ও দুর্নীতির নিন্দা,Condena del soborno y la corrupción,رشوت اور بدعنوانی کی مذمت
197,2:189,Do Not Beat Around the Bush,2,189,Lafı Dolandırmayın,Ne pas tourner autour du pot,Nicht um den heißen Brei herumreden,Jangan berbelit-belit,موضوع را کش نده,சுற்றிவளைத்துப் பேசாதீர்கள்,Slå inte runt busken,Не бить вокруг пальца,বেশি ঘুরিয়ে কথা বলবেন না,No se ande con rodeos,پھیر پھیر کر بات نہ کرو
198,2:190,Rules of War*,2,190,Savaş Kuralları,Les règles de la guerre*,Regeln des Krieges*,Peraturan Perang*,قوانین جنگ*,போரின் விதிமுறைகள்*,Krigets regler*,Правила войны*,যুদ্ধের নিয়মাবলী*,Reglas de la guerra,جنگ کے قواعد*
204,2:196,Hajj and 'Umrah Pilgrimage*,2,196,Kutsal Hac ve 'Umre Yolculuğu',Pèlerinage du Hadj et de la Omra* (en anglais),Hadsch und Umrah-Pilgerreise*,Ziarah Haji dan Umrah*,زیارت حج و عمره*,ஹஜ் மற்றும் உம்ரா புனித யாத்திரை*,Pilgrimsresa till Hajj och 'Umrah*,Паломничество Хадж и Умра*,হজ ও ওমরাহ তীর্থযাত্রা*,Peregrinación al Hayy y a la Umrah*.,حج اور عمرہ کا سفر*
205,2:197,"The Four Months of Hajj (Dhul-Hijjah, Muharram, Safar, & Rabi I)",2,197,"Dört Hac Ayı (Zilhicce, Muharrem, Safer & Rebiülevvel)","Les quatre mois du Hajj (Dhul-Hijjah, Muharram, Safar et Rabi I)","Die vier Monate des Hadsch (Dhul-Hijjah, Muharram, Safar, & Rabi I)","Empat Bulan Haji (Dzulhijjah, Muharram, Safar, & Rabi' I)",چهار ماه حج (ذی‌القعده، ذی‌الحجه، محرم، صفر و ربیع الاول),"ஹஜ்ஜின் நான்கு மாதங்கள் (ஜுல் - ஹிஜ்ஜஹ், முஹர்ரம், ஸஃபர், & ரபியுல் அவ்வல்)","De fyra månaderna av Hajj (Dhul-Hijjah, Muharram, Safar och Rabi I)","Четыре месяца хаджа (дхуль-хиджа, мухаррам, сафар и раби I)","হজের চার মাস (জুলহজ্ব, মুহাররাম, সফর ও রবিউল আউয়াল)","Los cuatro meses del Hayy (Dhul-Hijjah, Muharram, Safar y Rabi I)",حج کے چار مہینے (ذی الحجہ، محرم، صفر، اور ربیع الاول)
28,2:20,The Light of Faith,2,20,İmanın Işığı,La lumière de la foi,Das Licht des Glaubens,Cahaya Iman,نور ایمان,விசுவாசத்தின் ஒளி,Trons ljus,Свет веры,বিশ্বাসের আলো,La luz de la fe,ایمان کی روشنی
211,2:203,Mena: Last Rites of Hajj,2,203,Mina: Haccın Son Ritüelleri,Mena : Derniers rites du Hajj,Mena: Die letzten Riten der Haddsch,Mena: Upacara Penutup Haji,منا: آخرین آیین‌های حج,மினா: ஹஜ்ஜின் இறுதிச் சடங்குகள்,Mena: Hajjs sista riter,Мена: Последние обряды хаджа,মেনা: হজের শেষ বিদায় অনুষ্ঠান,Mena: Últimos ritos del Hayy,مینا: حج کی آخری رسومات
212,2:204,Appearances May Be Deceiving,2,204,Görünüşler Aldatıcı Olabilir,Les apparences peuvent être trompeuses,Der Schein kann trügerisch sein,Penampilan boleh menipu,ظاهر ممکن است فریبنده باشد,தோற்றங்கள் ஏமாற்றுவதாக இருக்கக் கூடும்,Det yttre skenet kan vara bedrägligt,Внешний вид может быть обманчив,দেখতে প্রতারণামূলক হতে পারে,Las apariencias engañan,ظاہری صورتیں فریب دے سکتی ہیں
219,2:211,Miracles Bring Greater Responsibility*,2,211,Mucizeler Beraberinde Büyük Sorumluluk Getirir,Les miracles entraînent une plus grande responsabilité*,Wunder führen zu größerer Verantwortung*,Mukjizat Membawa Tanggungjawab yang Lebih Besar*,معجزات مسئولیت بزرگ‌تری به همراه دارند*,அற்புதங்கள் மிகப்பெரும் பொறுப்பினைக் கொண்டு வருகின்றன*,Mirakel ger större ansvar*,Чудеса приносят большую ответственность*,অলৌকিক ঘটনা আরও বড় দায়িত্ব নিয়ে আসে*,Los milagros conllevan una mayor responsabilidad*.,معجزے بڑی ذمہ داری لیتے ہیں*
220,2:212,Shortsightedness,2,212,İleriyi Görememe,La myopie,Kurzsichtigkeit,Penglihatan dekat,دوربینی,குறுகிய பார்வை,Kortsiktighet,Близорукость,দূরদৃষ্টিহীনতা,Miopía,قصرِ نظر
221,2:213,Disastrous Jealousy,2,213,Felaket Getiren Kıskançlık,Jalousie désastreuse,Verhängnisvolle Eifersucht,Kecemburuan Bencana,حسادت فاجعه‌بار,பெரு நாசமுண்டாக்கும் பொறாமை,Katastrofal svartsjuka,Губительная ревность,ভয়াবহ ঈর্ষা,Celos desastrosos,تباه کن حسد
223,2:215,Recipients of Charity,2,215,Bağış Alacak Olan Kimseler,Bénéficiaires de la charité,Empfänger von Wohltätigkeitsleistungen,Penerima Amalan Kebajikan,مستمندان,தர்மத்தைப் பெறுபவர்கள்,Mottagare av välgörenhet,Получатели благотворительной помощи,দাতব্যের প্রাপকগণ,Beneficiarios de la caridad,خیرات کے وصول کنندگان
224,2:216,Believers: The Ultimate Victors,2,216,İmanlılar: Nihai Galipler,Les croyants : Les vainqueurs ultimes,Gläubige: Die ultimativen Sieger,Orang-orang yang beriman: Para pemenang sejati,باورمندان: فاتحان نهایی,நம்பிக்கையாளர்கள்: இறுதி வெற்றியாளர்கள்,De troende: De ultimata segrarna,Верующие: Победители,বিশ্বাসীরা: পরম বিজয়ীরা,Creyentes: Los vencedores finales,مومن: حتمی فاتحین
225,2:217,Oppression Condemned,2,217,Zulüm Kınanmıştır,L'oppression condamnée,Unterdrückung verurteilt,Penindasan Dikecam,محکومیت ستم,அடக்குமுறை கண்டனம் செய்யப்படுகின்றது,Förtryck fördöms,Угнетение осуждено,নিপীড়নের নিন্দা,Opresión condenada,ظلم کی مذمت
227,2:219,Intoxicants and Gambling Prohibited*,2,219,Sarhoş Ediciler ve Kumar Haram Kılındı,Alcools et jeux de hasard interdits*,Rauschmittel und Glücksspiel sind verboten*.,Bahan memabukkan dan perjudian dilarang*,ممنوعیت مواد مست‌کننده و قمار,போதையூட்டுபவையும் சூதாட்டமும் தடை செய்யப்படுகின்றது*,Förbud mot berusningsmedel och spel*,Интоксиканты и азартные игры запрещены*,মাদকদ্রব্য ও জুয়া নিষিদ্ধ*,Prohibidos los tóxicos y el juego*.,نشہ آور اشیاء اور جوئے کی ممانعت*
229,2:221,Do Not Marry Idol Worshipers,2,221,Puta Tapanlarla Evlenmeyin,N'épousez pas les adorateurs de l'idole,Heiraten Sie keine Götzenanbeter,Jangan berkahwin dengan penyembah berhala,با بت‌پرستان ازدواج نکنید,போலித்தெய்வ வழிபாடு செய்கின்றவர்களைத் திருமணம் செய்து கொள்ளாதீர்கள்,Gift dig inte med idoldyrkare,Не выходите замуж за идолопоклонников,মূর্তি পূজকদের সাথে বিবাহ বন্ধ করো,No te cases con adoradores de ídolos,بت پرستوں سے شادی نہ کرو
230,2:222,Menstruation,2,222,Regl,Menstruation,Menstruation,Kejadian haid,قاعدگی,மாதவிடாய்,Menstruation,Менструация,মাসিক,Menstruación,ماہواری
232,2:224,Do Not Take God's Name in Vain,2,224,Tanrı'nın Adını Boş Yere Ağzınıza Almayın,Ne prenez pas le nom de Dieu en vain,Nimm Gottes Namen nicht umsonst an,Jangan menyebut nama Tuhan dengan sia-sia,نام خدا را بیهوده نبر,கடவுளின் பெயரை வீணாகப் பயன்படுத்தாதீர்கள்,Ta inte Guds namn i onödan,Не принимайте Божье имя всуе,ঈশ্বরের নাম বৃথা গ্রহণ করো না,No tomes el nombre de Dios en vano,خدا کا نام بیجا نہ لو
234,2:226,Laws of Divorce,2,226,Boşanma Yasaları,Lois sur le divorce,Recht der Ehescheidung,Undang-undang Perceraian,قوانین طلاق,விவாகரத்தின் சட்டங்கள்,Lagar om äktenskapsskillnad,Законы о разводе,বিবাহবিচ্ছেদের আইনসমূহ,Leyes de divorcio,طلاق کے قوانین
31,2:23,Mathematical Challenge,2,23,Matematiksel Meydan Okuma,Défi mathématique,Mathematische Herausforderung,Cabaran Matematik,چالش ریاضی,கணித ரீதியிலான அறைகூவல்,Matematisk utmaning,Математический вызов,গণিত চ্যালেঞ্জ,Desafío matemático,ریاضیاتی چیلنج
239,2:231,Do Not Throw the Divorcees Out Onto the Streets,2,231,Boşanmış Kimseleri Sokağa Atmayın,Ne pas jeter les divorcés à la rue,Schmeißt die Geschiedenen nicht auf die Straße,Jangan buang orang yang bercerai ke jalanan.,طلاق‌داده‌ها را به خیابان‌ها نیندازید,விவாகரத்தான பெண்களை வீதிகளில் தள்ளப்பட்ட நிலைக்கு உள்ளாக்காதீர்கள்,Kasta inte ut de frånskilda på gatorna,Не выбрасывайте разводящихся на улицу,তালাকপ্রাপ্তদের রাস্তায় ফেলে দেবেন না,No echemos a los divorciados a la calle,طلاق یافتہ افراد کو سڑکوں پر نہ پھینکیں
242,2:234,You Shall Observe the Pre-Marriage Interims,2,234,Evlilik Öncesi Geçiş Dönemlerini Gözetin,Vous observerez les intermèdes prénuptiaux,Du sollst die vorehelichen Interimszeiten einhalten,Kamu hendaklah mematuhi syarat-syarat pra-perkahwinan.,شما باید شرایط پیش از ازدواج را رعایت کنید,திருமணத்திற்கு முந்திய தவணைக் காலங்களை நீங்கள் கடைப்பிடிக்க வேண்டும்,Du ska iaktta de mellanrum som sker före äktenskapet,Вы должны соблюдать предбрачные промежутки,তোমরা বিবাহ-পূর্ব শর্তাবলী পালন করবে।,Observaréis los intervalos prematrimoniales,تم نکاح سے قبل کے وقفوں کا خیال رکھو
244,2:236,Breaking the Engagement,2,236,Nişanı Bozmak,Rompre l'engagement,Auflösung der Verlobung,Memutuskan pertunangan,قطع نامزدی,திருமண ஒப்பந்தத்தை முறித்தல்,Bryta förlovningen,Разрыв помолвки,সাগরিকতা ভঙ্গ করা,Romper el compromiso,منگنی ختم کرنا
246,2:238,You Shall Observe the Contact Prayers*,2,238,İletişim Dualarını Yerine Getirin,Vous observerez les prières de contact*.,Du sollst die Kontaktgebete* einhalten,Kamu hendak menunaikan solat-solat qadha'*,نمازهای قضا را به جا آورید,நீங்கள் தொடர்புத் தொழுகைகளை கடைப்பிடிக்க வேண்டும்*,Du ska iaktta kontaktbönerna*,Вы должны соблюдать контактные молитвы*.,তোমরা যোগাযোগের প্রার্থনাগুলো পালন করবে*,Observaréis las oraciones de contacto*.,آپ جماعت کی نمازیں ادا کریں گے
32,2:24,Allegorical Description of Hell,2,24,Cehennemin Alegorik Tarifi,Description allégorique de l'enfer,Allegorische Beschreibung der Hölle,Keterangan Alegori Neraka,توصیف تمثیلی جهنم,நரகத்தின் உருவக வர்ணனை,Allegorisk beskrivning av helvetet,Аллегорическое описание ада,নরকের রূপক বর্ণনা,Descripción alegórica del infierno,دوزخ کی تمثیلی تفصیل
248,2:240,Alimony For Widows and Divorcees,2,240,Dullar ve Boşanmış Kimseler için Nafaka,Pension alimentaire pour les veuves et les divorcées,Unterhaltszahlungen für Witwen und Geschiedene," Nafkah untuk Balu dan Mereka yang Berpisah",نفقه برای بیوه‌زنان و مطلقه‌ها,விதவைகளுக்கும் விவாகரத்தான பெண்களுக்கும் உரிய ஜீவனாம்சம்,Underhållsbidrag för änkor och frånskilda,Алименты для вдов и разведенных,বিধবা ও তালাকপ্রাপ্তাদের ভরণপোষণ,Pensión alimenticia para viudas y divorciadas,بیواؤں اور طلاق یافتہ خواتین کے لیے نفقہ
251,2:243,Striving in the Cause of God,2,243,Tanrı Uğrunda Çaba Sarf Etmek,Lutter pour la cause de Dieu,Streben für die Sache Gottes,Berjuang di Jalan Allah,کوشش در راه خدا,கடவுளின் நிமித்தம் பாடுபடுதல்,Att sträva för Guds skull,Стремление к Богу,আল্লাহর পথে সংগ্রাম,Luchar por la causa de Dios,اللہ کے دین کی خاطر جدوجہد
254,2:246,Saul*,2,246,Saul,Saul*,Saul*,Saul,شائول,சவுல்*,Saul*,Сол*,সাউল,Saul*,سول
255,2:247,Questioning God's Wisdom,2,247,Tanrı'nın Hikmetini Sorgulamak,Remettre en question la sagesse de Dieu,Gottes Weisheit in Frage stellen,Mertanyakan Kebijaksanaan Tuhan,پرسش از حکمت خدا,கடவுளின் ஞானத்தைச் சந்தேகித்தல்,Ifrågasättande av Guds visdom,Оспаривание Божьей мудрости,ঈশ্বরের প্রজ্ঞা প্রশ্ন করা,Cuestionar la sabiduría de Dios,خدا کی حکمت پر سوال اٹھانا
256,2:248,Ark of the Covenant,2,248,Ahit Sandığı,Arche d'Alliance,Die Bundeslade,Bahtera Perjanjian,صندوق عهد,உடன்படிக்கைப் பேழை,Förbundsarken,Ковчег Завета,নিমিত্তের বাক্স,Arca de la Alianza,عہد نامے کا تابوت
257,2:249,David and Goliath,2,249,Davut ve Golyat,David et Goliath,David und Goliath,Daud dan Goliath,داوود و جالوت,டேவிட்டும் கோலியாத்தும்,David och Goliat,Давид и Голиаф,দাউদ ও গলিয়াথ,David y Goliat,داؤد اور جالوت
33,2:25,Allegorical Description of Paradise,2,25,Cennetin Alegorik Tarifi,Description allégorique du paradis,Allegorische Beschreibung des Paradieses,Deskripsi Alegori Syurga,توصیف تمثیلی بهشت,சுவனத்தின் உருவக வர்ணனை,Allegorisk beskrivning av paradiset,Аллегорическое описание рая,স্বর্গের রূপক বর্ণনা,Descripción alegórica del Paraíso,جنت کی تمثیلی تشریح
261,2:253,Many Messengers / One Message,2,253,Birçok Elçi / Tek Mesaj,Plusieurs messagers / un seul message,Viele Boten / Eine Botschaft,Banyak Utusan / Satu Pesan,پیام‌رسانان بسیار / یک پیام,தூதர்கள் பலர் / தூதுச் செய்தி ஒன்று,Många budbärare / ett budskap,Много посланников / одно послание,অনেক বার্তাবাহক / একটাই বার্তা,Muchos mensajeros / Un mensaje,بہت سے پیغامبر / ایک ہی پیغام
262,2:254,No Intercession*,2,254,Şefaat Yoktur,Pas d'intercession*,Keine Fürbitte*,Tiada Perantaraan*,شفاعتی در کار نیست,சிபாரிசு கிடையாது*,Ingen förbön*,Без заступничества*,কোনও মধ্যস্থতা নয়,No Intercesión*,شفاعت نہیں
264,2:256,No Compulsion in Religion,2,256,Dinde Zorlama Yok,Pas de contrainte en matière de religion,Kein Zwang in der Religion,Tiada Paksaan dalam Agama,در دین هیچ اجباری نیست,மார்க்கத்தில் நிர்ப்பந்தம் இல்லை,Inget tvång i religionen,Никакого принуждения в религии,ধর্মে কোনো জোরজবরি নেই,La religión no obliga,مذہب میں کوئی جبر نہیں
266,2:258,Abraham's Courageous Debate,2,258,İbrahim'in Cesur Tartışması,Le débat courageux d'Abraham,Abrahams mutige Aussprache,Perdebatan Berani Abraham,مناظرهٔ شجاعانهٔ ابراهیم,ஆப்ரஹாமின் துணிச்சலான விவாதம்,Abrahams modiga debatt,Мужественный спор Авраама,আব্রাহামের সাহসী বিতর্ক,El valiente debate de Abraham,ابراہیم کی بہادرانہ بحث
267,2:259,Lesson About Death*,2,259,Ölüm Hakkında Ders,Leçon sur la mort*,Lektion über den Tod*,Pelajaran Tentang Kematian*,درس درباره مرگ*,மரணம் குறித்த படிப்பினை*,Lektion om döden*,Урок о смерти*,মৃত্যু সম্পর্কে পাঠ*,Lección sobre la muerte*.,موت کے بارے میں سبق*
268,2:260,Every Believer Needs Assurance,2,260,Her İmanlı Tatmin Olmaya İhtiyaç Duyar,Chaque croyant a besoin d'assurance,Jeder Gläubige braucht Gewissheit,Setiap orang percaya memerlukan kepastian,هر مؤمنی به اطمینان نیاز دارد,ஒவ்வொரு நம்பிக்கையாளருக்கும் உறுதிப்படுத்துதல் தேவைப்படுகின்றது,Varje troende behöver försäkran,Каждому верующему нужна уверенность,প্রত্যেক বিশ্বাসীর নিশ্চয়তার প্রয়োজন,Todo creyente necesita seguridad,ہر مومن کو یقین کی ضرورت ہے
269,2:261,The Best Investment,2,261,En İyi Yatırım,Le meilleur investissement,Die beste Investition,Pelaburan Terbaik,بهترین سرمایه‌گذاری,மிகச்சிறந்த முதலீடு,Den bästa investeringen,Лучшая инвестиция,সেরা বিনিয়োগ,La mejor inversión,بہترین سرمایہ کاری
273,2:265,Charity,2,265,Bağış,Charité,Wohltätigkeit,Amal,خیریه,தர்மம்,Välgörenhet,Благотворительность,দাতব্য,Caridad,خیرات
275,2:267,What to Give,2,267,Ne Vermeli,Que donner ?,Was man schenken kann,Apa yang hendak diberikan,چه چیزی هدیه دهیم,எதனைக் கொடுப்பது,Vad ska jag ge?,Что дарить,কি উপহার দেব,Qué regalar,کیا دیں
277,2:269,Wisdom: A Great Treasure,2,269,Bilgelik: Büyük Bir Hazine,La sagesse : Un grand trésor,Weisheit: Ein großer Schatz,Kebijaksanaan: Harta Karun Yang Agung,حکمت: گنجی بزرگ,ஞானம்: ஒரு மாபெரும் பொக்கிஷம்,Visdom: En stor skatt,Мудрость: Великое сокровище,জ্ঞান: একটি মহামূল্য রত্ন,La sabiduría: Un gran tesoro,حکمت: ایک عظیم خزانہ
278,2:270,Anonymous Charity Better,2,270,İsimsiz Bağış Daha İyidir,Organisme de bienfaisance anonyme Mieux,Anonyme Wohltätigkeit Besser,Anonymous Charity Better,خیریهٔ ناشناس بهتر,அனாமதேயமான தர்மமே சிறந்தது,Anonym välgörenhet Bättre,Анонимная благотворительность Лучше,অজ্ঞাত দাতব্য সংস্থা বেস্ট,Caridad anónima Mejor,گمنام خیراتی ادارہ بہتر
280,2:272,God is the Only One Who Guides,2,272,Tanrı Tek Rehberlik Edendir,Dieu est le seul à guider,"Gott ist der Einzige, der lenkt",Tuhan adalah satu-satunya yang membimbing,خدا تنها کسی است که هدایت می‌کند,வழிநடத்துபவராக இருக்கின்ற ஒரே ஒருவர் கடவுள்தான்,Gud är den ende som vägleder,"Бог - единственный, кто направляет",ঈশ্বর একমাত্র পথপ্রদর্শক।,Dios es el único que guía,خدا ہی واحد ہے جو رہنمائی کرتا ہے۔
283,2:275,Usury Prohibited*,2,275,Tefecilik Haram Kılındı,L'usure est interdite*,Wucher ist verboten*,Riba Dilarang*,ربا ممنوع است*,அநியாய வட்டி தடுக்கப்படுகின்றது*,Ocker förbjuds*,Ростовщичество запрещено*,সুদ নিষিদ্ধ*,Prohibición de la usura*.,سود کی ممانعت*
285,2:277,Divine Guarantee,2,277,İlahi Garanti,Garantie divine,Göttliche Garantie,Jaminan Ilahi,تضمین الهی,தெய்வீக உத்தரவாதம்,Gudomlig garanti,Божественная гарантия,দৈব নিশ্চয়তা,Garantía Divina,الٰہی ضمانت
36,2:28,Two Deaths and Two Lives for the Disbelievers*,2,28,İnkârcılar için İki Ölüm ve İki Hayat,Deux morts et deux vies pour les mécréants*,Zwei Tode und zwei Leben für die Ungläubigen*,Dua Kematian dan Dua Kehidupan bagi Orang-orang yang Tidak Percaya*,دو مرگ و دو زندگی برای کافران*,நம்பமறுப்போருக்கு இரு மரணங்களும் இரு வாழ்வுகளும்*,Två dödsfall och två liv för de icke-troende*,Две смерти и две жизни для неверующих*.,অবিশ্বাসীদের জন্য দুই মৃত্যু ও দুই জীবন*,Dos muertes y dos vidas para los incrédulos*.,کافروں کے لیے دو اموات اور دو زندگیاں*
290,2:282,Write Down Financial Transactions,2,282,Finansal İşlemleri Kaydedin,Amortissement des transactions financières,Finanztransaktionen abschreiben,Catatkan transaksi kewangan,مبادلات مالی را یادداشت کنید,பொருளாதாரப் பரிவார்த்தனைகளை எழுதி வைத்துக் கொள்ளுங்கள்,Nedskrivning av finansiella transaktioner,Списание финансовых операций,আর্থিক লেনদেনগুলো লিখে রাখুন,Anotar operaciones financieras,مالی لین دین لکھیں
293,2:285,You Shall Not Make Any Distinction Among God's Messengers,2,285,Tanrı'nın Elçileri Arasında Hiçbir Ayrım Yapmayın,Vous ne ferez aucune différence entre les messagers de Dieu.,Ihr sollt keinen Unterschied zwischen den Gesandten Gottes machen,Janganlah kamu membuat sebarang perbezaan antara para utusan Allah.,در میان پیامبران خدا فرق نگذارید,கடவுளின் தூதர்களுக்கிடையில் நீங்கள் எந்தப் பாரபட்சமும் செய்யக்கூடாது,Du skall inte göra någon åtskillnad bland Guds budbärare,Не делайте различий между посланниками Божьими,তুমি ঈশ্বরের প্রেরিতদের মধ্যে কোনো পার্থক্য করবে না।,No Harás Distinción entre los Mensajeros de Dios,تم خدا کے پیغمبروں میں کوئی فرق نہ کرو۔
11,2:3,Three Categories of People (1) The Righteous,2,3,Üç İnsan Kategorisi (1) Doğrular.,Trois catégories de personnes (1) Les justes,Drei Kategorien von Menschen (1) Die Gerechten,Tiga Kategori Orang (1) Orang Saleh,سه دسته از مردم (۱) صالحان,மக்களில் மூன்று வகையினர் (1) நன்னெறியாளர்கள்,Tre kategorier av människor (1) De rättfärdiga,Три категории людей (1) Праведники,তিন ধরনের মানুষ (১) সৎকর্মশীল,Tres categorías de personas (1) Los justos,لوگوں کی تین اقسام (1) نیک لوگ
38,2:30,"Satan: A Temporary ""god""*",2,30,"Şeytan: Geçici bir ""tanrı""","Satan : Un ""dieu"" temporaire *","Satan: Ein vorübergehender ""Gott ""*","Satan: Seorang ""Tuhan"" sementara*",شیطان: یک «خدا»ی موقت*,சாத்தான்: நிலையற்ற ஒரு தெய்வம்*,"Satan: En tillfällig ""gud"" *","Сатана: Временный ""бог ""*.","শয়তান: একটি অস্থায়ী ""ঈশ্বর""*","Satanás: Un ""dios ""* temporal","شیطان: ایک عارضی ""خدا""*"
39,2:31,The Test Begins,2,31,Test Başlıyor,Le test commence,Die Prüfung beginnt,Ujian Bermula,آزمون آغاز می‌شود,சோதனை துவங்குகின்றது,Testet inleds,Испытание начинается,পরীক্ষা শুরু হয়,Comienza la prueba,آزمائش شروع ہوتی ہے
45,2:37,Specific Words*,2,37,Spesifik Kelimeler,Mots spécifiques*,Spezifische Wörter*,Kata-kata Tertentu*,واژه‌های خاص*,பிரத்தியேகமான வார்த்தைகள்*,Specifika ord*,Особые слова*,নির্দিষ্ট শব্দসমূহ*,Palabras específicas,مخصوص الفاظ*
48,2:40,"Divine Commandments to All Jews: ""You Shall Believe in This Quran.""",2,40,"Tüm Yahudilere İlahi Buyruklar: ""Bu Kur'an'a İman Etmelisiniz.""","Commandements divins à tous les juifs : ""Vous croirez en ce Coran"".","Göttliche Gebote an alle Juden: ""Ihr sollt an diesen Koran glauben"".","Perintah Ilahi kepada Semua Orang Yahudi: ""Kamu Harus Beriman kepada Al-Qur'an Ini.""",فرمان‌های الهی به همه یهودیان: «شما باید به این قرآن ایمان بیاورید.»,அனைத்து யூதர்களுக்குமான தெய்வீகக் கட்டளைகள்: நீங்கள் இந்தக் குர்ஆனில் நம்பிக்கை கொள்ள வேண்டும்,"Gudomliga budord till alla judar: ""Ni ska tro på denna Koran.""","Божественные заповеди для всех евреев: ""Вы должны верить в этот Коран"".","সকল ইহুদীর জন্য ঐশ্বরিক আদেশ: ""তোমরা এই কোরআনে বিশ্বাস করবে।""","Mandamientos Divinos a Todos los Judíos: ""Creeréis en este Corán"".","تمام یہودیوں کے لیے الٰہی احکام: ""تم اس قرآن پر ایمان لاؤ۔"""
62,2:54,Kill Your Ego*,2,54,Egonu Öldür,Tuez votre ego*,Töte dein Ego*,Bunuh Ego Anda*,خودت را بکش*,உங்கள் அகந்தையைக் கொல்லுங்கள்*,Döda ditt ego*,Убейте свое эго*,তোমার অহংকারকে হত্যা করো*,Mata tu ego,اپنا انا مار ڈالو*
63,2:55,Physical Evidence*,2,55,Fiziksel Delil,Preuves matérielles*,Physische Beweise*,Bukti Fizikal*,مدرک فیزیکی*,கண்கூடான ஆதாரம்*,Fysisk bevisning*,Вещественные доказательства*,দৈহিক প্রমাণ*,Pruebas físicas,جسمانی ثبوت*
66,2:58,Lack of Confidence in God: They Refuse to Enter Jerusalem,2,58,Tanrı'ya Olan Güven Eksikliği: Kudüs'e Girmeyi Reddettiler,Manque de confiance en Dieu : Ils refusent d'entrer à Jérusalem,"Mangelndes Vertrauen in Gott: Sie weigern sich, Jerusalem zu betreten",Kekurangan keyakinan kepada Tuhan: Mereka enggan memasuki Yerusalem,بی‌اعتمادی به خدا: آنها از ورود به اورشلیم خودداری می‌کنند,கடவுள் மீது உறுதிப்பாட்டின் குறைவு:ஜெருசலேமிற்குள் அவர்கள் நுழைய மறுக்கின்றனர்,Brist på förtroende för Gud: De vägrar att gå in i Jerusalem,Недостаток уверенности в Боге: Они отказываются войти в Иерусалим,ঈশ্বরের প্রতি আস্থার অভাব: তারা যেরুশালেমে প্রবেশ করতে অস্বীকার করে,Falta de confianza en Dios: Se niegan a entrar en Jerusalén,خدا پر اعتماد نہ ہونا: وہ یروشلم میں داخل ہونے سے انکار کرتے ہیں
14,2:6,(2) The Disbelievers,2,6,(2) İnkârcılar,(2) Les mécréants,(2) Die Ungläubigen,(2) Orang-orang yang tidak beriman,(۲) کافران,(2) நம்பமறுப்பவர்கள்,(2) De icke-troende,(2) Неверующие,(২) অবিশ্বাসীরা,(2) Los infieles,(2) کافر
68,2:60,More Miracles,2,60,Daha Fazla Mucize,Plus de miracles,Mehr Wunder,Lebih Banyak Mujizat,معجزات بیشتر,அதிகமான அற்புதங்கள்,Fler mirakel,Больше чудес,আরও অলৌকিক ঘটনা,Más milagros,مزید معجزے
69,2:61,Israel Rebels,2,61,İsrail İsyancıları,Israël Rebelles,Israelische Rebellen,Pemberontak Israel,شورشیان اسرائیل,இஸ்ரவேலர்கள் கலகம் செய்கின்றனர்,Israel Rebeller,Израильские повстанцы,ইসরায়েল বিদ্রোহী,Israel Rebeldes,اسرائیل کے باغی
70,2:62,Unity of All Submitters,2,62,Tüm Teslim Olanların Birliği,Unité de tous les soumissionnaires,Einheit aller Einreicher,Kesatuan Semua Yang Berserah,اتحاد همه تسلیم‌شدگان,சரணடைந்தோர் அனைவருடைய ஒற்றுமை,Enhet för alla inlämnare,Единство всех участников,সমস্ত আত্মসমর্পণকারীদের ঐক্য,Unidad de todos los remitentes,تمام فرمانبرداروں کی یگانگت
71,2:63,Covenant with Israel,2,63,İsrail ile Antlaşma,L'alliance avec Israël,Bund mit Israel,Perjanjian dengan Israel,پیمان با اسرائیل,இஸ்ரவேலர்களுடன் உடன்படிக்கை,Förbundet med Israel,Завет с Израилем,ইস্রায়েলের সাথে চুক্তি,Pacto con Israel,اسرائیل کے ساتھ عہد
75,2:67,The Heifer*,2,67,Düve,The Heifer*,The Heifer*,Si Betina Muda*,گاوچه‌نر*,பசுங்கன்று*,Kvigan*,Телка*,বাছুরটি*,La Vaquilla*,بچھڑی*
80,2:72,Purpose of the Heifer,2,72,Düvenin Amacı,Objectif de la génisse,Zweck der Färse,Tujuan Lembu Betina,منظور از گاو جوان,பசுங்கன்றின் நோக்கம்,Syftet med kvigan,Назначение телки,বাছুরের উদ্দেশ্য,Objetivo de la novillada,بچھڑی کا مقصد
83,2:75,Distorting the Word of God,2,75,Tanrı'nın Sözünü Çarpıtmak,Déformer la parole de Dieu,Verzerrung des Wortes Gottes,Memutarbelitkan Firman Tuhan,تحریف کلام خدا,கடவுளின் வார்த்தையை சிதைத்தல்,Förvrängning av Guds ord,Искажение Слова Божьего,ঈশ্বরের বাক্য বিকৃত করা,Distorsión de la Palabra de Dios,خدا کا کلام مسخ کرنا
