index,verse_index,verse_id,word_index,root_word,arabic,english,transliterated,meanings,chapter_number,verse_number
9593,493,3:198,20,خ ي ر,خَيْرٌ,best,khayrun,to be in good circumstances; be favorable to; choose; prefer; select; earn wealth; good; best; profitable and useful thing; happiness; prosperity,3,198
9594,493,3:198,21,ب ر ر,لِّلْأَبْرَارِ,for the righteous.,lil'abrāri,pious; righteous; just; virtuous; truthful; dutiful; kind; benevolent; gift; favor; travel in the land; land,3,198
9595,494,3:199,1,ا ن ن,وَإِنَّ,"And indeed,",wa-inna,,3,199
9596,494,3:199,2,م ن,مِنْ,among,min,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,3,199
9597,494,3:199,3,ا ه ل,أَهْلِ,(the) people (of),ahli,possessor; people of; one who recites; superintended; owner; inhabitants; family; people of house or dwelling,3,199
9598,494,3:199,4,ك ت ب,ٱلْكِتَـٰبِ,the scripture,l-kitābi,to write; note; record; collect; bring together; prescribe; ordain; destine; decree; transcribe; command; inscribe; book; writing; scripture; written revelation; decree; letter; prescribed period; to cause to be written (*to allow a slave to obtain their freedom by paying a agreed price written down),3,199
9599,494,3:199,5,م ن,لَمَن,surely (are those) who,laman,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,3,199
9600,494,3:199,6,ا م ن,يُؤْمِنُ,[he] believes,yu'minu,to believe; trust; be secure; be in safety; confine in; security; place of security; trust; covenant; pledge; faith,3,199
9601,494,3:199,7,ا ل ه,بِٱللَّهِ,in God,bil-lahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,3,199
9602,494,3:199,8,م ا,وَمَآ,and what,wamā,that; which; that which; whatsoever; as much as; any kind; when; how,3,199
9603,494,3:199,9,ن ز ل,أُنزِلَ,it was revealed,unzila,to descend; come down; go down; happen; settle in place; send down; give; that which is prepared for a guest's entertainment; abode; gift; station; mansion; to cause to descend; send down; divine revelation; gradual revelation; orderly arrangement and authentic compilation,3,199
9604,494,3:199,10,ا ل ي,إِلَيْكُمْ,to you [all],ilaykum,,3,199
9605,494,3:199,11,م ا,وَمَآ,and what,wamā,that; which; that which; whatsoever; as much as; any kind; when; how,3,199
9606,494,3:199,12,ن ز ل,أُنزِلَ,it was revealed,unzila,to descend; come down; go down; happen; settle in place; send down; give; that which is prepared for a guest's entertainment; abode; gift; station; mansion; to cause to descend; send down; divine revelation; gradual revelation; orderly arrangement and authentic compilation,3,199
9607,494,3:199,13,ا ل ي,إِلَيْهِمْ,to them -,ilayhim,,3,199
9608,494,3:199,14,خ ش ع,خَـٰشِعِينَ,humble / reverent ones,khāshiʿīna,to be submissive; humble; lowly; low; cast down (eyes); faint (voice); dry; barren and desolate; exercise restraint; confined to God only; throw oneself completely at His mercy,3,199
9609,494,3:199,15,ا ل ه,لِلَّهِ,to God.,lillahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,3,199
9610,494,3:199,16,ل ا,لَا,not,lā,no; not; [present tense],3,199
9611,494,3:199,17,ش ر ي,يَشْتَرُونَ,they sell / trade (away),yashtarūna,to buy; sell; barter; purchase; conclude a sale; give or take in exchange; refuse; choose; prefer; give up anything and take another; lay hold on another; to acquire for a price; of any one who relinquishes a thing and lays hold upon another thing,3,199
9612,494,3:199,18,ا ي ا,بِـَٔايَـٰتِ,of (the) verses / revelations,biāyāti,"sign, revelation, verse, proof, miracle, lesson, mansion, letter (alphabet)",3,199
9613,494,3:199,19,ا ل ه,ٱللَّهِ,(of) God,l-lahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,3,199
9614,494,3:199,20,ث م ن,ثَمَنًا,(for) a price,thamanan,value; price; eight; eighty; one part of eight; eighteen,3,199
9615,494,3:199,21,ق ل ل,قَلِيلًا,little (cheap).,qalīlan,to be few in number; small in quantity; rare; few; little; small; rare; seldom; fewer; poorer; to appear as few,3,199
9616,494,3:199,22,ا و ل ا,أُو۟لَـٰٓئِكَ,"Those,",ulāika,,3,199
9617,494,3:199,23,ل,لَهُمْ,"for them,",lahum,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",3,199
9618,494,3:199,24,ا ج ر,أَجْرُهُمْ,their reward (is),ajruhum,to reward; pay wages; hire; dowry; employ,3,199
9619,494,3:199,25,ع ن د,عِندَ,with,ʿinda,"(preposition): here; with; by; at the point of; about; from; in the presence of (the word denotes the idea of nearness also a sense of rank or dignity or opinion, time and place) ...to go out of the right way; decline; deviate; be rebellious; tyrant; opposing; obstinate to resist; stubborn; transgress the bounds; enemy",3,199
9620,494,3:199,26,ر ب ب,رَبِّهِمْ,their Lord.,rabbihim,"to be lord and master; collect; possess; rule; increase; complete; perfume; bring up; preserve; last; Mast; Chief; Determiner; Provider; Sustainer; Perfecter; Rewarder; Ruler; Creator; Maintainer; Reposer of properties; King of nature; Developer; Former of rules and laws of the growth; Foster of a thing in such a manner as to make it attain one condition after another until it reaches its goal of completion; (conveys  not only the idea of fostering, bringing up or nourishing but also that of regulating; completing, accomplishing, cherishing, sustaining, and bringing to maturity and evolution from the earliest state to that of the highest perfection.",3,199
9621,494,3:199,27,ا ن ن,إِنَّ,"Indeed,",inna,,3,199
9622,494,3:199,28,ا ل ه,ٱللَّهَ,God (is),l-laha,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,3,199
9623,494,3:199,29,س ر ع,سَرِيعُ,swift / most efficient,sarīʿu,"to hasten; be quick; swift; ",3,199
9624,494,3:199,30,ح س ب,ٱلْحِسَابِ,(in) [the] reckoning.,l-ḥisābi,to think; consider; suppose; imagine; be of opinion; to number; reckon; account,3,199
9625,495,3:200,1,ا ي ي,يَـٰٓأَيُّهَا,O,yāayyuhā,who; which; what; whosoever; whatsoever; whichever,3,200
9626,495,3:200,2,ا ل ل ذ,ٱلَّذِينَ,those who,alladhīna,He; Him; Whose; Whom; Which; Those who,3,200
9627,495,3:200,3,ا م ن,ءَامَنُوا۟,[they] believed!,āmanū,to believe; trust; be secure; be in safety; confine in; security; place of security; trust; covenant; pledge; faith,3,200
9628,495,3:200,4,ص ب ر,ٱصْبِرُوا۟,Be steadfast [you all],iṣ'birū,to bind; be patient; steadfast; constant; endure patiently; steadily adhere to reason and command; calm,3,200
9629,495,3:200,5,ص ب ر,وَصَابِرُوا۟,and be patient / persevere [you all],waṣābirū,to bind; be patient; steadfast; constant; endure patiently; steadily adhere to reason and command; calm,3,200
9630,495,3:200,6,ر ب ط,وَرَابِطُوا۟,and be firm and constant (*united) [you all],warābiṭū,to tie; fasten; conform; bind; strengthened; stationed on (the enemy's frontier); lay (anchor); equip; fortify; brace; be ready; be ready for impact; to be firm and constant,3,200
9631,495,3:200,7,و ق ي,وَٱتَّقُوا۟,and observe [you all],wa-ittaqū,to protect; save; preserve; ward off; guard against evil and calamity; be secure; take as a shield; regard the duty; one who guards against evil and against that which harms and injures and is regardful of his duty towards others and God; shield; guard against evil; observing God's laws in every walk of life,3,200
9632,495,3:200,8,ا ل ه,ٱللَّهَ,God,l-laha,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,3,200
9633,495,3:200,9,ل ع ل ل,لَعَلَّكُمْ,so that you [all] may,laʿallakum,perhaps; may be that; it is hoped; to be happy; (it is meant to denote a state of hope or fear),3,200
9634,495,3:200,10,ف ل ح,تُفْلِحُونَ,[you all] succeed.,tuf'liḥūna,"to till (the earth); cleave (a thing); to be successful (in this life and the Hereafter); lucky; live on; prosperity; safety; success; to unfold something to reveal its intrinsic properties; ",3,200
9635,496,4:0,1,س م و,بِسْمِ,In (the) name,bis'mi,name; attribute; to be high; raised lofty; heavens; heights; rain; rain clouds; figure seen from afar; good repute; fame; sublime; fixed; determined,4,0
9636,496,4:0,2,ا ل ه,ٱللَّهِ,"(of) God,",l-lahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,4,0
9637,496,4:0,3,ر ح م,ٱلرَّحْمَـٰنِ,"Most Gracious,",l-raḥmāni,"to love; have mercy; forgiveness; favor, affection; wombs",4,0
9638,496,4:0,4,ر ح م,ٱلرَّحِيمِ,Most Merciful.,l-raḥīmi,"to love; have mercy; forgiveness; favor, affection; wombs",4,0
9639,497,4:1,1,ا ي ي,يَـٰٓأَيُّهَا,O,yāayyuhā,who; which; what; whosoever; whatsoever; whichever,4,1
9640,497,4:1,2,ن و س,ٱلنَّاسُ,[the] people!,l-nāsu,human being; to swing; halt in a place; move; toss; mankind; people,4,1
9641,497,4:1,3,و ق ي,ٱتَّقُوا۟,Observe [you all],ittaqū,to protect; save; preserve; ward off; guard against evil and calamity; be secure; take as a shield; regard the duty; one who guards against evil and against that which harms and injures and is regardful of his duty towards others and God; shield; guard against evil; observing God's laws in every walk of life,4,1
9642,497,4:1,4,ر ب ب,رَبَّكُمُ,your Lord,rabbakumu,"to be lord and master; collect; possess; rule; increase; complete; perfume; bring up; preserve; last; Mast; Chief; Determiner; Provider; Sustainer; Perfecter; Rewarder; Ruler; Creator; Maintainer; Reposer of properties; King of nature; Developer; Former of rules and laws of the growth; Foster of a thing in such a manner as to make it attain one condition after another until it reaches its goal of completion; (conveys  not only the idea of fostering, bringing up or nourishing but also that of regulating; completing, accomplishing, cherishing, sustaining, and bringing to maturity and evolution from the earliest state to that of the highest perfection.",4,1
9643,497,4:1,5,ا ل ل ذ,ٱلَّذِى,the One who,alladhī,He; Him; Whose; Whom; Which; Those who,4,1
9644,497,4:1,6,خ ل ق,خَلَقَكُم,He created you [all],khalaqakum,"to measure; proportion; determine; fashion; create; form a thing; behave kindly; to measure for making something; to make proportional, balanced or smooth; ",4,1
9645,497,4:1,7,م ن,مِّن,from,min,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,4,1
9646,497,4:1,8,ن ف س,نَّفْسٍ,a being,nafsin,soul; person; self; spirit; mind; ego; inner desire; vital principle; blood; spirit; intention; pride; heart; life; spirit; core; breath; long discourse; aspiration,4,1
9647,497,4:1,9,و ح د,وَٰحِدَةٍ,single,wāḥidatin,one; alone; unique; unparalleled; lonely,4,1
9648,497,4:1,10,خ ل ق,وَخَلَقَ,and He created,wakhalaqa,"to measure; proportion; determine; fashion; create; form a thing; behave kindly; to measure for making something; to make proportional, balanced or smooth; ",4,1
9649,497,4:1,11,م ن,مِنْهَا,from it,min'hā,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,4,1
9650,497,4:1,12,ز و ج,زَوْجَهَا,its mate,zawjahā,to marry one to; couple anything with; pair; mingle with; companion; mate; spouse; husband or wife; join together,4,1
9651,497,4:1,13,ب ث ث,وَبَثَّ,and He dispersed,wabatha,to spread; disperse; scatter; divulge; disseminate; distress; grief; sorrow; anguish,4,1
9652,497,4:1,14,م ن,مِنْهُمَا,from both of them,min'humā,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,4,1
9653,497,4:1,15,ر ج ل,رِجَالًا,men,rijālan,foot; walk; male human being; man; soldier; grant a respite,4,1
9654,497,4:1,16,ك ث ر,كَثِيرًا,many,kathīran,to surpass in number or quantity; increase; multiply; happen often; to be much; many numerous; multitude; abundance; plenty,4,1
9655,497,4:1,17,ن س و,وَنِسَآءً,and women.,wanisāan,women. There is no singular of this word,4,1
9656,497,4:1,18,و ق ي,وَٱتَّقُوا۟,And regard [you all],wa-ittaqū,to protect; save; preserve; ward off; guard against evil and calamity; be secure; take as a shield; regard the duty; one who guards against evil and against that which harms and injures and is regardful of his duty towards others and God; shield; guard against evil; observing God's laws in every walk of life,4,1
9657,497,4:1,19,ا ل ه,ٱللَّهَ,"God,",l-laha,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,4,1
9658,497,4:1,20,ا ل ل ذ,ٱلَّذِى,(by) the One who,alladhī,He; Him; Whose; Whom; Which; Those who,4,1
9659,497,4:1,21,س ا ل,تَسَآءَلُونَ,you [all] swear,tasāalūna,to ask; interrogate; ask for; demand; pray; beg; question,4,1
9660,497,4:1,22,ب,بِهِۦ,"by Him,",bihi,with; from; in; at; during; for; by; on account of; according to; with the help of,4,1
9661,497,4:1,23,ر ح م,وَٱلْأَرْحَامَ,and the blood relationships / parents.,wal-arḥāma,"to love; have mercy; forgiveness; favor, affection; wombs",4,1
9662,497,4:1,24,ا ن ن,إِنَّ,"Indeed,",inna,,4,1
9663,497,4:1,25,ا ل ه,ٱللَّهَ,God,l-laha,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,4,1
9664,497,4:1,26,ك و ن,كَانَ,He is,kāna,"to be; exist; happen; occur; take place; become; be such or so; to be something; used to; beyond doubt; was; existed; happened; occurred; took place; were used to; is ever; is; worthy of; would be; are; Be!; side; place; abode; purpose; status; way; condition; intention; ability; place of existence or being; greatness; high rank; high standing; honorable position; certainly shall be; may be; ",4,1
9665,497,4:1,27,ع ل ي,عَلَيْكُمْ,over you [all],ʿalaykum,on; upon; at; under; against; provided; so that; in respect; before; according to; for the sake of; to; above; in spite of; near; as,4,1
9666,497,4:1,28,ر ق ب,رَقِيبًا,watcher.,raqīban,to guard; watch; observe; respect; wait for; tie by the neck; warn; fear; control; neck; slave; captive,4,1
9667,498,4:2,1,ا ت ي,وَءَاتُوا۟,And give [you all],waātū,"to come; bring; bring to; come to; come to pass; come upon; do; commit; come easily; arrive; bring; give; reach; happen; overtake; draw near; go; hit; meet; join; come personally or through command or operation and enforcement of orders; be engaged or occupied; commit (offense); perpetrate (crime); undertake (enterprise); present; pay; ",4,2
9668,498,4:2,2,ي ت م,ٱلْيَتَـٰمَىٰٓ,(to) the orphans,l-yatāmā,to become an orphan; become without father before puberty or maturity; become isolated; lonely; solitary; weary; jaded; become motherless (beast); become widow,4,2
9669,498,4:2,3,م و ل,أَمْوَٰلَهُمْ,"their wealth / properties,",amwālahum,wealth; to be rich; render wealthy; finance minister,4,2
9670,498,4:2,4,ل ا,وَلَا,and (do) not,walā,no; not; [present tense],4,2
9671,498,4:2,5,ب د ل,تَتَبَدَّلُوا۟,[you all] substitute,tatabaddalū,"to change; substitute (one thing for another); exchange; ",4,2
9672,498,4:2,6,خ ب ث,ٱلْخَبِيثَ,the bad,l-khabītha,unproductive; bad; vile; inferior; corrupt; foul; evil wicked,4,2
9673,498,4:2,7,ط ي ب,بِٱلطَّيِّبِ,"for the good,",bil-ṭayibi,to be good; pleasant; agreeable; lawful; of their (women's) free will and being good (to you); joy; happiness; state of bliss; good; clean; wholesome; gentle; excellent; fair; lawful,4,2
9674,498,4:2,8,ل ا,وَلَا,and (do) not,walā,no; not; [present tense],4,2
9675,498,4:2,9,ا ك ل,تَأْكُلُوٓا۟,[you all] consume,takulū,to eat; gnaw; food; flavor; fruit; greedy; devoured,4,2
9676,498,4:2,10,م و ل,أَمْوَٰلَهُمْ,their wealth / properties,amwālahum,wealth; to be rich; render wealthy; finance minister,4,2
9677,498,4:2,11,ا ل ي,إِلَىٰٓ,with,ilā,,4,2
9678,498,4:2,12,م و ل,أَمْوَٰلِكُمْ,your wealth / properties.,amwālikum,wealth; to be rich; render wealthy; finance minister,4,2
9679,498,4:2,13,ا ن ن,إِنَّهُۥ,"Indeed, it",innahu,,4,2
9680,498,4:2,14,ك و ن,كَانَ,[it] was,kāna,"to be; exist; happen; occur; take place; become; be such or so; to be something; used to; beyond doubt; was; existed; happened; occurred; took place; were used to; is ever; is; worthy of; would be; are; Be!; side; place; abode; purpose; status; way; condition; intention; ability; place of existence or being; greatness; high rank; high standing; honorable position; certainly shall be; may be; ",4,2
9681,498,4:2,15,ح و ب,حُوبًا,a sin / injustice,ḥūban,"To transgress, commit a sin, do what is unlawful, be in an evil condition or state, to slay, pursue a course which leads to sin or crime, to cry or cry out in sorrow and grief, to lament or complain",4,2
9682,498,4:2,16,ك ب ر,كَبِيرًا,great.,kabīran,to be hard; grievous; grow up; be great; advanced in years; be good; grow big and tall; illustrious; become momentous (affair); become haughty; arrogant; heinous crime; nobility; chief; leaders; men; leader; elder; to extol; stiffneckedness; glorifying; exalt; dignified / اسْتِكْبَارًا = behaving arrogantly or proudly; showing too much pride in oneself and too little consideration for others,4,2
9683,499,4:3,1,ا ن,وَإِنْ,And if,wa-in,If; When; Indeed; Not; Because; Although; Lest; That; To,4,3
9684,499,4:3,2,خ و ف,خِفْتُمْ,you [all] feared,khif'tum,to fear; be frightened; apprehensive; suspicious; anxious; cautious; know,4,3
9685,499,4:3,3,ا ل ل ا,أَلَّا,that not,allā,if not; unless; except; some; otherwise; less; but; and; also,4,3
9686,499,4:3,4,ق س ط,تُقْسِطُوا۟,you [all] will act justly,tuq'siṭū,act or deal unjustly or wrongfully; to act justly; justice; equity; more just; to be just; one who observes justice; balance; scale,4,3
9687,499,4:3,5,ف ي,فِى,with,fī,(preposition) in; into; amongst; in company with; during; with; of; for; for the sake of; upon; concerning; after; in comparison; about; among; on account of; respecting; by the side of; on; by; against; according to; in respect of,4,3
9688,499,4:3,6,ي ت م,ٱلْيَتَـٰمَىٰ,"the orphans,",l-yatāmā,to become an orphan; become without father before puberty or maturity; become isolated; lonely; solitary; weary; jaded; become motherless (beast); become widow,4,3
9689,499,4:3,7,ن ك ح,فَٱنكِحُوا۟,then marry [you all],fa-inkiḥū,"to tie; make a knot; contract; cement; marry, age of marriage, age of sexual maturity, age one is capable of signing a contract independently",4,3
9690,499,4:3,8,م ا,مَا,what (is),mā,that; which; that which; whatsoever; as much as; any kind; when; how,4,3
9691,499,4:3,9,ط ي ب,طَابَ,agreeable / wholesome / lawful / good,ṭāba,to be good; pleasant; agreeable; lawful; of their (women's) free will and being good (to you); joy; happiness; state of bliss; good; clean; wholesome; gentle; excellent; fair; lawful,4,3
9692,499,4:3,10,ل,لَكُم,for you [all],lakum,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",4,3
9693,499,4:3,11,م ن,مِّنَ,from,mina,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,4,3
9694,499,4:3,12,ن س و,ٱلنِّسَآءِ,the women (their mothers),l-nisāi,women. There is no singular of this word,4,3
9695,499,4:3,13,ث ن ي,مَثْنَىٰ,"two,",mathnā,"to bend; fold; double; turn one part of a thing upon the other; draw one of its two extremities to the other; join or adjoin one of the things to the other; to turn anyone away or back from his course or from the object of his want; conceal enmity; second; turning; one who turns (his side); proud; two; pair; oft-repeated; praised; spoke well of anyone; repeating of a thing; ",4,3
9696,499,4:3,14,ث ل ث,وَثُلَـٰثَ,"or three,",wathulātha,,4,3
9697,499,4:3,15,ر ب ع,وَرُبَـٰعَ,or four.,warubāʿa,,4,3
9698,499,4:3,16,ا ن,فَإِنْ,But if,fa-in,If; When; Indeed; Not; Because; Although; Lest; That; To,4,3
9699,499,4:3,17,خ و ف,خِفْتُمْ,you [all] feared,khif'tum,to fear; be frightened; apprehensive; suspicious; anxious; cautious; know,4,3
9700,499,4:3,18,ا ل ل ا,أَلَّا,that not,allā,if not; unless; except; some; otherwise; less; but; and; also,4,3
9701,499,4:3,19,ع د ل,تَعْدِلُوا۟,you [all] act justly,taʿdilū,to act and deal justly; equitably; with fairness and proportion; adjust properly as to relative magnitude; establish justice; hold as equal; pay as an equivalent; dispose aright; straighten; deviate from the right path; turn aside; stray from; justice; equity; accuracy; recompense; ransom; equivalent; compensation; instead (thereof),4,3
9702,499,4:3,20,و ح د,فَوَٰحِدَةً,then (marry) one,fawāḥidatan,one; alone; unique; unparalleled; lonely,4,3
9703,499,4:3,21,ا و,أَوْ,or,aw,or; either; whether; until; unless,4,3
9704,499,4:3,22,م ا,مَا,what*,mā,that; which; that which; whatsoever; as much as; any kind; when; how,4,3
9705,499,4:3,23,م ل ك,مَلَكَتْ,[it] possessed / took [as a wife]*,malakat,to possess; become the owner of; conquer; have control; rule; take a wife; to marry; have power; reign; be capable of; able to obtain; can do; can avail; have authority; hold; transfer property; give to anyone the possession; give a support to; marriage; to own; king; lord; monarch; master; dominion; kingdom; angel; owner,4,3
9706,499,4:3,24,ي م ن,أَيْمَـٰنُكُمْ,your right hands / oaths (*existing wives).,aymānukum,to meet on the right side; bless; lead to the right; be a cause of blessing; right hand; oaths; blessed; peoples of the right hands that are blessed,4,3
9707,499,4:3,25,ذ ل ك,ذَٰلِكَ,That (is),dhālika,,4,3
9708,499,4:3,26,د ن و,أَدْنَىٰٓ,more likely,adnā,near; lower; less; fewer; more fit; more proper; more likely; within reach; this world,4,3
9709,499,4:3,27,ا ل ل ا,أَلَّا,that not,allā,if not; unless; except; some; otherwise; less; but; and; also,4,3
9710,499,4:3,28,ع و ل,تَعُولُوا۟,you [all] impose financial hardship.,taʿūlū,"impose hardship; commit oppression or dishonesty; have a large family; injustice; poverty; ",4,3
9711,500,4:4,1,ا ت ي,وَءَاتُوا۟,And give [you all],waātū,"to come; bring; bring to; come to; come to pass; come upon; do; commit; come easily; arrive; bring; give; reach; happen; overtake; draw near; go; hit; meet; join; come personally or through command or operation and enforcement of orders; be engaged or occupied; commit (offense); perpetrate (crime); undertake (enterprise); present; pay; ",4,4
9712,500,4:4,2,ن س و,ٱلنِّسَآءَ,the women,l-nisāa,women. There is no singular of this word,4,4
9713,500,4:4,3,ص د ق,صَدُقَـٰتِهِنَّ,their dowries,ṣaduqātihinna,truthful; sincere; true; speak the truth; establish or confirm the truth of what another has said; verify; keep faith; fulfill; keep a promise; trustworthy; to give alms; dowry; be charitable,4,4
9714,500,4:4,4,ن ح ل,نِحْلَةً,willingly / cheerfully.,niḥ'latan,unasked; willingly; cheerfully; without demand and without expecting a return for it; free gift,4,4
9715,500,4:4,5,ا ن,فَإِن,But if,fa-in,If; When; Indeed; Not; Because; Although; Lest; That; To,4,4
9716,500,4:4,6,ط ي ب,طِبْنَ,they [on their own free will] remit,ṭib'na,to be good; pleasant; agreeable; lawful; of their (women's) free will and being good (to you); joy; happiness; state of bliss; good; clean; wholesome; gentle; excellent; fair; lawful,4,4
9717,500,4:4,7,ل,لَكُمْ,to you [all],lakum,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",4,4
9718,500,4:4,8,ع ن,عَن,from,ʿan,off; of; from; about; because; away from; out of; in spite of; concerning; on account of; instead of; for; after; with; on the authority of,4,4
9719,500,4:4,9,ش ي ا,شَىْءٍ,anything,shayin,to will; wish; thing; matter; affair in any way; at all; what is willed our wished; aught; any extent; a little; a bit; at all; in any way,4,4
9720,500,4:4,10,م ن,مِّنْهُ,of it,min'hu,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,4,4
9721,500,4:4,11,ن ف س,نَفْسًا,"(on their) own,",nafsan,soul; person; self; spirit; mind; ego; inner desire; vital principle; blood; spirit; intention; pride; heart; life; spirit; core; breath; long discourse; aspiration,4,4
9722,500,4:4,12,ا ك ل,فَكُلُوهُ,then consume it [you all],fakulūhu,to eat; gnaw; food; flavor; fruit; greedy; devoured,4,4
9723,500,4:4,13,ه ن ي,هَنِيٓـًٔا,(in) satisfaction,hanīan,be wholesome; make the food; easy to digest; do good; promote health; take it and make use of it; make use for profit and advantage,4,4
9724,500,4:4,14,م ر ا,مَّرِيٓـًٔا,(and) ease.,marīan,to be wholesome; easy of digestion; good cheer and pleasure; beneficial to anyone; human being; man; woman; wife,4,4
9725,501,4:5,1,ل ا,وَلَا,And (do) not,walā,no; not; [present tense],4,5
9726,501,4:5,2,ا ت ي,تُؤْتُوا۟,you [all] give,tu'tū,"to come; bring; bring to; come to; come to pass; come upon; do; commit; come easily; arrive; bring; give; reach; happen; overtake; draw near; go; hit; meet; join; come personally or through command or operation and enforcement of orders; be engaged or occupied; commit (offense); perpetrate (crime); undertake (enterprise); present; pay; ",4,5
9727,501,4:5,3,س ف ه,ٱلسُّفَهَآءَ,the immature (orphans),l-sufahāa,"foolish; ignorant; imprudent; immature; to be fooled; ",4,5
9728,501,4:5,4,م و ل,أَمْوَٰلَكُمُ,your wealth / properties,amwālakumu,wealth; to be rich; render wealthy; finance minister,4,5
9729,501,4:5,5,ا ل ل ت,ٱلَّتِى,which,allatī,,4,5
9730,501,4:5,6,ج ع ل,جَعَلَ,[He] made,jaʿala,to place; put; impose; make; create; appoint; constitute; ordain; attribute; establish; count; hold; regard; esteem; render; establish change; substitute; use a thing instead of; impose; begin,4,5
9731,501,4:5,7,ا ل ه,ٱللَّهُ,God,l-lahu,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,4,5
9732,501,4:5,8,ل,لَكُمْ,for you [all],lakum,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",4,5
9733,501,4:5,9,ق و م,قِيَـٰمًا,custodians / guardians,qiyāman,to stand; stand fast or firm; stand still; stand up; rise; stop; appear in broad light (truth); come back to life; rise against; persevere in; rise in honoring; sustain; rise for prayer; to maintain; erect; set up; rectify; make accurate; awake; to perform prayer; establish; observe; be straightforward; appoint; nation; tribe; party; some people; station; pause in prayer; revolution; livelihood; sustenance; mainstay; normal condition; Sustainer; Guardian; One who manages and maintains the affairs; One who undertakes the maintenance and protection; Maintainer; Resurrection; Hereafter; Day of Judgment; to raise uproar; value; price; stature of a person; the husband; guardian of the wife; true faith; self sustaining; self existing; abode; place; residence; rank; dignity; proportion; symmetry; mould; model (like model employee); formation; straight; right; undeviating without crookedness / قَائِمَةً = upright (people); arises; will come,4,5
9734,501,4:5,10,ر ز ق,وَٱرْزُقُوهُمْ,but provide (for) them [you all],wa-ur'zuqūhum,to provide; supply; bestow; grant; bounty; gift; provision,4,5
9735,501,4:5,11,ف ي,فِيهَا,with it,fīhā,(preposition) in; into; amongst; in company with; during; with; of; for; for the sake of; upon; concerning; after; in comparison; about; among; on account of; respecting; by the side of; on; by; against; according to; in respect of,4,5
9736,501,4:5,12,ك س و,وَٱكْسُوهُمْ,and clothe them [you all],wa-ik'sūhum,"To dress, clothe, garment, poor man, simple oblong piece of cloth, wrapper or a wrapping garment.",4,5
9737,501,4:5,13,ق و ل,وَقُولُوا۟,and speak [you all],waqūlū,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,4,5
9738,501,4:5,14,ل,لَهُمْ,to them,lahum,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",4,5
9739,501,4:5,15,ق و ل,قَوْلًا,words,qawlan,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,4,5
